codigo,nome_pt_br,sigla,registro,bit_codigo,largura_codigo,arquivo,cpk_origem,fonte_autoritativa,tamanho_registro,offset_nome_pt_br,largura_nome_pt_br,codificacao_nome_pt_br,hash_country_bin,presente_dt200,presente_dt870_steam,presente_dt870_atualizacao,contrato_extracao,pode_rodar,falta_o_que
22,Maldivas,MDV,21,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
23,Mongólia,MNG,22,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
24,Mianmar,MYA,23,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
25,Nepal,NEP,24,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
26,Omã,OMA,25,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
27,Paquistão,PAK,26,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
28,Palestina,PLE,27,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
29,Filipinas,PHI,28,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
30,Catar,QAT,29,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
31,Arábia Saudita,KSA,30,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
32,Cingapura,SGP,31,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
33,Sri Lanka,SRI,32,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
34,Síria,SYR,33,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
36,Tailândia,THA,34,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
37,Emirados Árabes Unidos,UAE,35,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
38,Vietnã,VIE,36,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
39,Iêmen,YEM,37,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
40,Quirguistão,KGZ,38,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
41,Tadjiquistão,TJK,39,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
42,Turcomenistão,TKM,40,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
43,Timor-Leste,TLS,41,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
44,Argélia,ALG,42,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
45,Angola,ANG,43,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
46,Benim,BEN,44,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
47,Botsuana,BOT,45,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
48,Burkina Faso,BFA,46,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
49,Burundi,BDI,47,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
50,Camarões,CMR,48,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
51,Cabo Verde,CPV,49,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
52,Rep. Centro-Africana,CTA,50,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
53,Chade,CHA,51,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
54,Comores,COM,52,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
55,República Dem. do Congo,COD,53,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
56,Costa do Marfim,CIV,54,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
57,Djibuti,DJI,55,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
58,Egito,EGY,56,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
59,Guiné Equatorial,EQG,57,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
60,Eritreia,ERI,58,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
61,Etiópia,ETH,59,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
62,Gabão,GAB,60,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
63,Gâmbia,GAM,61,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
64,Gana,GHA,62,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
65,Guiné,GUI,63,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
66,Guiné-Bissau,GNB,64,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
67,Quênia,KEN,65,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
68,Lesoto,LES,66,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
69,Libéria,LBR,67,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
70,Líbia,LBY,68,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
71,Madagascar,MAD,69,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
